['2024-04-12', '1712889225', 'twitter.com.', '198', 'IN', 'AAAA', '2a03:2880:f127:83:face:b00c:0:25de', '51162', '2409:8a55:427:d490:1:adff:fe4f:ea7b']['AAAA', '9txs.com.', 'AAAA', '9txs.com.', '173', '1712882099000', '0.1549064815044403', '866401023', '0', '0', 'ans', '', '2a03:2880:f127:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712905924', 'twitter.com.', '171', 'IN', 'AAAA', '2a03:2880:f11c:8183:face:b00c:0:25de', '1007740', '2409:8a55:d847:cd71:fc82:9ff:fe9a:b658']['AAAA', 'www.aichatos.com.', 'AAAA', 'www.aichatos.com.', '225', '1712880864000', '0.23336096107959747', '866401023', '0', '0', 'ans', '', '2a03:2880:f11c:8183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712887496', 'twitter.com.', '68', 'IN', 'AAAA', '2a03:2880:f12a:83:face:b00c:0:25de', '53274', '240e:b67:5ed:7500:1:c6ff:fe5f:fe16']['AAAA', 'www.jbsou.cn.', 'AAAA', 'www.jbsou.cn.', '220', '1712883546000', '0.30654627829790115', '866401023', '0', '0', 'ans', '', '2a03:2880:f12a:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712892202', 'nytimes.com.', '133', 'IN', 'AAAA', '2a03:2880:f134:83:face:b00c:0:25de', '51162', '2409:8a55:427:d490:1:adff:fe4f:ea7b']['AAAA', 'www.texcn.cn.', 'AAAA', 'www.texcn.cn.', '154', '1712882027000', '0.257503867149353', '866401023', '0', '0', 'ans', '', '2a03:2880:f134:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f134::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712930504', 'nytimes.com.', '196', 'IN', 'AAAA', '2a03:2880:f10c:283:face:b00c:0:25de', '1007740', '2409:8a55:d847:cd71:fc82:9ff:fe9a:b658']['AAAA', 'www.91mjw.com.', 'AAAA', 'www.91mjw.com.', '237', '1712883217000', '0.4910123944282532', '866401023', '0', '0', 'ans', '', '2a03:2880:f10c:283:face:b00c:0:25de', 'SG', '32934', '[32934]', '2a03:2880:f10c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712935401', 'nytimes.com.', '64', 'IN', 'AAAA', '2a03:2880:f11f:83:face:b00c:0:25de', '51162', '2409:8a55:427:d490:1:adff:fe4f:ea7b']['AAAA', '77169.com.', 'AAAA', '77169.com.', '80', '1712888016000', '0.25311338901519775', '866401023', '0', '0', 'ans', '', '2a03:2880:f11f:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712895463', 'nytimes.com.', '212', 'IN', 'AAAA', '2a03:2880:f12d:83:face:b00c:0:25de', '61553', '2408:8248:1a13:1260:da58:d7ff:fe03:103']['AAAA', 'www.maxreader.net.', 'AAAA', 'www.maxreader.net.', '89', '1712883840000', '0.24605285376310349', '866401023', '0', '0', 'ans', '', '2a03:2880:f12d:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712901905', 'twitter.com.', '242', 'IN', 'AAAA', '2a03:2880:f11a:83:face:b00c:0:25de', '1005738', '47.108.31.175']['AAAA', 'meijutt.com.', 'AAAA', 'meijutt.com.', '105', '1712882233000', '0.48574063181877136', '866401023', '0', '0', 'ans', '', '2a03:2880:f11a:83:face:b00c:0:25de', 'GB', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712939465', 'nytimes.com.', '206', 'IN', 'AAAA', '2a03:2880:f10f:83:face:b00c:0:25de', '63067', '2409:8a3c:5118:64f0:da58:d7ff:fe03:5d9']['AAAA', 'www.globalsdn.com.', 'AAAA', 'www.globalsdn.com.', '189', '1712887606000', '0.1238139271736145', '866401023', '0', '0', 'ans', '', '2a03:2880:f10f:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10f::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712896080', 'twitter.com.', '222', 'IN', 'AAAA', '2a03:2880:f117:83:face:b00c:0:25de', '55328', '240e:390:893:5b20:1:75ff:feac:24bb']['AAAA', 'www.raidcall.com.', 'AAAA', 'www.raidcall.com.', '69', '1712884122000', '0.24723711609840393', '866401023', '0', '0', 'ans', '', '2a03:2880:f117:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712949141', 'nytimes.com.', '234', 'IN', 'AAAA', '2a03:2880:f10a:83:face:b00c:0:25de', '1001082', '240e:6b3:20:ff05::135']['AAAA', 'www.meijutt.com.', 'AAAA', 'www.meijutt.com.', '204', '1712882234000', '0.5143647119402885', '866401023', '0', '0', 'ans', '', '2a03:2880:f10a:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10a::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712948100', 'twitter.com.', '179', 'IN', 'AAAA', '2a03:2880:f11b:83:face:b00c:0:25de', '62897', '27.38.112.69']['AAAA', 'globalsdn.com.', 'AAAA', 'globalsdn.com.', '148', '1712887606000', '0.39937707781791687', '866401023', '0', '0', 'ans', '', '2a03:2880:f11b:83:face:b00c:0:25de', 'NL', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712899572', 'nytimes.com.', '114', 'IN', 'AAAA', '2a03:2880:f10d:183:face:b00c:0:25de', '55328', '240e:390:893:5b20:1:75ff:feac:24bb']['AAAA', '95shubao.net.', 'AAAA', '95shubao.net.', '117', '1712888454000', '0.262108713388443', '866401023', '0', '0', 'ans', '', '2a03:2880:f10d:183:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880:f10d::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712934387', 'twitter.com.', '205', 'IN', 'AAAA', '2a03:2880:f129:83:face:b00c:0:25de', '14584', '110.231.228.80']['AAAA', 'hideipproxy.com.', 'AAAA', 'hideipproxy.com.', '201', '1712883435000', '0.24840688705444336', '866401023', '0', '0', 'ans', '', '2a03:2880:f129:83:face:b00c:0:25de', 'GB', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712899620', 'twitter.com.', '103', 'IN', 'AAAA', '2a03:2880:f107:83:face:b00c:0:25de', '63067', '2409:8a3c:5118:64f0:da58:d7ff:fe03:5d9']['AAAA', 'raidcall.com.', 'AAAA', 'raidcall.com.', '84', '1712884122000', '0.24415847659111023', '866401023', '0', '0', 'ans', '', '2a03:2880:f107:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f107::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712935470', 'nytimes.com.', '166', 'IN', 'AAAA', '2a03:2880:f131:83:face:b00c:0:25de', '14584', '2408:821a:1722:c00:6666:b3ff:feb0:eca4']['AAAA', 'www.foxs.top.', 'AAAA', 'www.foxs.top.', '84', '1712887808000', '0.1465403437614441', '866401023', '0', '0', 'ans', '', '2a03:2880:f131:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f131::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
